Time [s]	Amp[A]
8.213139  0.72
8.213641  0.67
8.214142  0.57
8.214642  0.69
8.215143  0.69
8.215645  0.67
8.216146  0.61
8.216647  0.67
8.217149  0.67
8.217649  0.69
8.218151  0.80
8.218652  0.80
8.219152  0.67
8.219653  0.72
8.220154  0.56
8.220655  0.64
8.221156  0.61
8.221657  0.69
8.222158  0.72
8.222659  0.80
8.223161  0.66
8.223662  0.66
8.224163  0.70
8.224664  0.72
8.225166  0.57
8.225667  0.69
8.226169  0.63
8.226669  0.76
8.227170  0.61
8.227671  0.66
8.228172  0.69
8.228673  0.61
8.229175  0.70
8.229676  0.56
8.230178  0.51
8.230679  0.69
8.231179  0.80
8.231680  0.70
8.232181  0.56
